"Name","State","Notes","User","Tags","Created","Runtime","Sweep","checkpoint_step","layer","method","shuffle_labels","test_percentage","train_dataset_group","dataset/num_samples","labels/max","labels/mean","labels/min","labels/std","magnitude/combined_mean","magnitude/test_mean","magnitude/train_mean","model/input_dim","model/output_dim","normalize_features","test/mae","test/mse","test/pearson","test/r2","test/rmse","train/final_mae","train/final_mse","train/method"
"closedform_virulence_probe_dataset_epoch=0-step=1999-consumed_samples=16000.0-last__layer_30_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:53:03.000Z","4","","2000","30","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","1017048727552","1012674789376","1056297123840","4096","1","false","1.754841685295105","4.585489273071289","0.11055533211300148","-0.11556637148668349","2.1413755562888284","1.3046634197235107","2.3199045658111572","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=99-consumed_samples=800.0-last__layer_19_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:52:40.000Z","4","","100","19","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","5.715794563293457","5.715570449829102","5.717804908752441","4096","1","false","1.4737576246261597","3.521000862121582","0.4375425868275447","0.14340419525423287","1.8764330156234144","0.00000457062924397178","3.564159731239691e-11","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=499-consumed_samples=4000.0-last__layer_6_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:52:28.000Z","4","","500","6","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","0.8125836849212646","0.8126129508018494","0.8123201131820679","4096","1","false","1.627415657043457","4.534610748291016","0.37680057737788064","-0.103188688045166","2.129462549163759","0.000053785541240358725","3.2866211974180715e-9","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=199-consumed_samples=1600.0-last__layer_23_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:51:59.000Z","4","","200","23","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","8.711299896240234","8.711797714233398","8.70682430267334","4096","1","false","1.450850248336792","3.4792604446411133","0.478448073526578","0.15355894961748373","1.8652775784427136","0.000007105840268195607","8.527642481048757e-11","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=199-consumed_samples=1600.0-last__layer_15_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:50:55.000Z","4","","200","15","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","4.194173336029053","4.193604469299316","4.199272632598877","4096","1","false","1.4972728490829468","3.712217092514038","0.44871970085197493","0.09688485798067405","1.9267114710080588","0.000008566556971345562","1.4137382930989872e-10","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=199-consumed_samples=1600.0-last__layer_18_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:50:44.000Z","4","","200","18","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","5.324047565460205","5.324220180511475","5.322498798370361","4096","1","false","1.5059611797332764","3.7272462844848633","0.44580413674389247","0.09322848805579265","1.9306077500323215","0.000004925035227643093","3.8303853144849847e-11","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=199-consumed_samples=1600.0-last__layer_24_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:50:20.000Z","4","","200","24","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","9.213160514831545","9.213470458984377","9.210384368896484","4096","1","false","1.47551167011261","3.5817177295684814","0.46921324014823546","0.12863291158715762","1.8925426625491115","0.000007293111593753565","8.408390650416209e-11","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=999-consumed_samples=8000.0-last__layer_30_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:49:40.000Z","4","","1000","30","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","927425691648","920989138944","985180667904","4096","1","false","1.841966986656189","5.196115970611572","0.05023594170250234","-0.2641207564560297","2.279499061331584","1.1916767358779907","2.2294631004333496","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=99-consumed_samples=800.0-last__layer_20_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:49:35.000Z","4","","100","20","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","6.077032089233398","6.076791286468506","6.079189777374268","4096","1","false","1.459514617919922","3.458984851837158","0.44886575645392707","0.15849159623500164","1.8598346302392472","0.000010566534001554828","1.3591820724467849e-10","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=99-consumed_samples=800.0-last__layer_23_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:49:18.000Z","3","","100","23","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","8.832996368408203","8.8335542678833","8.82799243927002","4096","1","false","1.4703967571258545","3.5703465938568115","0.4393310545115808","0.13139925115797868","1.8895360790037357","0.000018241840734845027","5.312627004983027e-10","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=499-consumed_samples=4000.0-last__layer_10_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:49:00.000Z","4","","500","10","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","2.5948095321655273","2.594985008239746","2.5932347774505615","4096","1","false","1.588923454284668","4.189408779144287","0.3797130982170912","-0.01920730229205625","2.0468045288068635","0.00003690292578539811","1.7129766494150542e-9","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=499-consumed_samples=4000.0-last__layer_20_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:48:54.000Z","4","","500","20","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","6.174764156341553","6.175142765045166","6.171364784240723","4096","1","false","1.4622422456741333","3.6427056789398193","0.4739885213536093","0.11379579250896787","1.9085873516661005","0.000005376902663556393","4.6909198747613345e-11","closed_form"
