file,perplexity
0,3.8264575
1,3.8273518
10,3.8270812
100,3.8214486
101,3.8247533
102,3.8244214
103,3.8228424
104,3.8250666
105,3.827339
106,3.8280685
107,3.8223126
108,3.8248718
109,3.8274708
11,3.8238616
110,3.8230948
111,3.8228314
112,3.824319
113,3.8225937
114,3.824442
115,3.8317485
116,3.8274777
117,3.823197
118,3.825153
119,3.82634
12,3.825451
120,3.824398
121,3.827666
122,3.8248322
123,3.8232553
124,3.8223484
125,3.8221092
126,3.8237436
127,3.8263772
128,3.8250446
129,3.8269036
13,3.8270328
130,3.8233988
131,3.8213758
132,3.8253455
133,3.8237286
134,3.827624
135,3.8246744
136,3.8229032
137,3.8275032
138,3.827294
139,3.8275163
14,3.8259723
140,3.8255353
141,3.824379
142,3.8222916
143,3.8226206
144,3.8244596
145,3.823537
146,3.8246708
147,3.8241525
148,3.8255868
149,3.8247921
15,3.8262007
150,3.8230484
151,3.8271103
152,3.824491
153,3.827679
154,3.8277924
155,3.8241596
156,3.8272007
157,3.825822
158,3.8228288
159,3.8245943
16,3.824174
160,3.8269608
161,3.8248103
162,3.8246439
163,3.8230772
164,3.8280349
165,3.8224833
166,3.821803
167,3.8250372
168,3.8274457
169,3.827645
17,3.8255787
170,3.8242404
171,3.82703
172,3.8233588
173,3.8257747
174,3.8264785
175,3.8240047
176,3.8241386
177,3.8277564
178,3.8260005
179,3.83071
18,3.827334
180,3.8272731
181,3.8218136
182,3.8202116
183,3.8209562
184,3.8246872
185,3.827682
186,3.8233037
187,3.8277988
188,3.8264854
189,3.824096
19,3.8242974
190,3.8268352
191,3.8270848
192,3.8225644
193,3.8248982
194,3.823951
195,3.8220983
196,3.8270693
197,3.8264713
198,3.8265738
199,3.8221443
2,3.8268726
20,3.8242261
200,3.8246243
201,3.8246257
202,3.8208778
203,3.8232276
204,3.8260489
205,3.826702
206,3.8248236
207,3.8240676
208,3.82544
209,3.826837
21,3.821775
210,3.8292224
211,3.827156
212,3.8253095
213,3.8269114
214,3.8221722
215,3.82522
216,3.8243685
217,3.8219137
218,3.825062
219,3.8273575
22,3.820545
220,3.8223016
221,3.8224018
222,3.821917
223,3.8237076
224,3.8235333
225,3.8247933
226,3.8248568
227,3.8267148
228,3.8210552
229,3.8256652
23,3.8266997
230,3.8227313
231,3.8261702
232,3.8230329
233,3.8221292
234,3.823589
235,3.8246338
236,3.8277943
237,3.8183634
238,3.8216214
239,3.8260279
24,3.8265874
240,3.8247137
241,3.8244705
242,3.827723
243,3.8226004
244,3.821787
245,3.8217685
246,3.8263786
247,3.8279936
248,3.8251185
249,3.8263402
25,3.8237412
250,3.8275132
251,3.8239787
252,3.8248227
253,3.826387
254,3.8262722
255,3.8243616
256,3.824602
257,3.8274093
258,3.8231943
259,3.824204
26,3.8275793
260,3.8204935
261,3.8236816
262,3.8206742
263,3.824441
264,3.8266523
265,3.8238041
266,3.827271
267,3.8293457
268,3.8253849
269,3.8235703
27,3.8223748
270,3.8228707
271,3.8220632
272,3.824174
273,3.8264818
274,3.822312
275,3.8270278
276,3.8268106
277,3.8311002
278,3.8236442
279,3.8266501
28,3.8241
280,3.8275316
281,3.8231661
282,3.8227267
283,3.8247023
284,3.8278973
285,3.8277304
286,3.8231483
287,3.8233511
288,3.8249912
289,3.8231533
29,3.824574
290,3.8231282
291,3.8225217
292,3.8254738
293,3.827155
294,3.8255527
295,3.8230019
296,3.8197353
297,3.8229022
298,3.8235266
299,3.8249102
3,3.8235576
30,3.8233342
300,3.8271778
301,3.8230143
302,3.8271563
303,3.8224432
304,3.8247442
305,3.8237112
306,3.8225403
307,3.8221416
308,3.8244655
309,3.8248012
31,3.8275096
310,3.8257356
311,3.8248403
312,3.8224857
313,3.8218987
314,3.8232307
315,3.8233821
316,3.8306491
317,3.8227823
318,3.8241274
319,3.8235228
32,3.8228927
320,3.8232539
321,3.8248048
322,3.8321335
323,3.8276
324,3.8233147
325,3.8232813
326,3.8241901
327,3.8274777
328,3.8236902
329,3.8250055
33,3.8252459
330,3.8233716
331,3.8273041
332,3.8246183
333,3.826424
334,3.8271148
335,3.8314893
336,3.8257067
337,3.8194106
338,3.8235826
339,3.8244488
34,3.8248527
340,3.8265753
341,3.8238583
342,3.8221858
343,3.8242445
344,3.8274434
345,3.8249023
346,3.8246088
347,3.825128
348,3.8244095
349,3.823677
35,3.8262742
350,3.8234782
351,3.8247242
352,3.8228798
353,3.827371
354,3.820438
355,3.826425
356,3.8281448
357,3.8245823
358,3.824189
359,3.8218205
36,3.8227453
360,3.8265939
361,3.831566
362,3.8233182
363,3.824125
364,3.8229647
365,3.8239546
366,3.8268955
367,3.8238316
368,3.8238707
37,3.8231428
38,3.8246398
39,3.819222
4,3.8273394
40,3.8245604
41,3.827669
42,3.8270085
43,3.82393
44,3.8274214
45,3.824353
46,3.8249857
47,3.8208926
48,3.8265355
49,3.825632
5,3.8228493
50,3.8271472
51,3.8268347
52,3.824065
53,3.8244774
54,3.8239076
55,3.826645
56,3.8250265
57,3.8282726
58,3.8235943
59,3.8266609
6,3.8244724
60,3.8271487
61,3.8238666
62,3.8274393
63,3.8275132
64,3.8232028
65,3.8239377
66,3.8231723
67,3.8226967
68,3.8235123
69,3.8262587
7,3.8267446
70,3.8219302
71,3.8233902
72,3.8243005
73,3.8236408
74,3.8250601
75,3.8230767
76,3.8226569
77,3.826614
78,3.8242416
79,3.8243685
8,3.8269854
80,3.8230727
81,3.824751
82,3.8249557
83,3.8247342
84,3.824523
85,3.821496
86,3.8262613
87,3.8221488
88,3.8242755
89,3.824958
9,3.827379
90,3.8233488
91,3.8270748
92,3.8231359
93,3.826839
94,3.8248026
95,3.8226674
96,3.8296194
97,3.8274894
98,3.8277714
99,3.8249922
